2076,Rog,Rog Marko,C,M;C,1,1,1,1,Cagliari,1,1,destro,Croazia,19/07/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ROG.png?v=35,0,0.0,0.0
6024,Sulemana I.,Sulemana Kakari Ibrahim,C,M;C,3,3,2,2,Cagliari,4,5,ambidestro,Ghana,22/05/2003 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,5.67,5.5
5782,Kourfalidis,Kourfalidis Christos,C,C,3,3,2,2,Cagliari,4,3,destro,Grecia,11/11/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,1,0.0,0.0
6233,Lella,Lella Nunzio,C,C,1,1,1,1,Cagliari,1,1,destro,Italia,28/07/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,1,0.0,0.0
440,Viola,Viola Nicolas,C,C,1,2,1,2,Cagliari,4,4,sinistro,Italia,12/10/1989 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/VIOLA.png?v=35,0,0.0,0.0
65,Mancosu,Mancosu Marco,C,T,6,7,5,6,Cagliari,6,6,destro,Italia,22/08/1988 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MANCOSU.png?v=35,0,0.0,0.0
6218,Oristanio,Oristanio Gaetano,C,W;T;A,5,4,7,7,Cagliari,12,14,sinistro,Italia,28/09/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,5.83,5.83
5297,Luvumbo,Luvumbo Zito,A,A,9,8,9,8,Cagliari,9,9,sinistro,Angola,09/03/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/LUVUMBO.png?v=35,0,6.33,7.33
1939,Lapadula,Lapadula Gianluca,A,Pc,14,15,14,15,Cagliari,38,35,sinistro,Italia;Perù,07/02/1990 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/LAPADULA.png?v=35,0,0.0,0.0
247,Pavoletti,Pavoletti Leonardo,A,Pc,4,4,3,3,Cagliari,6,4,destro,Italia,26/11/1988 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/PAVOLETTI.png?v=35,0,6.0,5.75
5311,Shomurodov,Shomurodov Eldor,A,Pc,12,13,12,13,Cagliari,22,20,destro,Uzbekistan,29/06/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SHOMURODOV.png?v=35,0,5.5,5.5
4360,Caprile,Caprile Elia,P,Por,6,7,6,7,Empoli,10,10,destro,Italia,25/08/2001 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,5.0,4.0
673,Perisan,Perisan Samuele,P,Por,1,2,1,2,Empoli,1,1,sinistro,Italia,21/08/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,5.0,3.0
6234,Stubljar,Stubljar Lovro,P,Por,1,1,1,1,Empoli,1,1,sinistro,Slovenia,09/08/2004 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,0.0,0.0
6056,Guarino,Guarino Gabriele,D,Dc,1,1,1,1,Empoli,2,2,destro,Italia,14/04/2004 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=35,0,0.0,0.0
